"year","desc","count"
"2013","OFFENSES INVOLVING FRAUD",1525
"2013","OFFENSES RELATED TO CHILDREN",156
"2013","OTHER OFFENSES RELATED TO THEF",1131
"2013","OTHER STATE LAWS",14
"2013","OTHER STATE LAWS (NON PENAL LA",396
"2013","OTHER TRAFFIC INFRACTION",3
"2013","PETIT LARCENY",85168
"2013","PETIT LARCENY OF MOTOR VEHICLE",83
"2013","POSSESSION OF STOLEN PROPERTY",3003
"2013","PROSTITUTION & RELATED OFFENSES",61
"2013","RAPE",1377
"2013","ROBBERY",19127
"2013","SEX CRIMES",5036
"2013","THEFT-FRAUD",5012
"2013","THEFT OF SERVICES",553
"2013","UNAUTHORIZED USE OF A VEHICLE",1532
"2013","UNLAWFUL POSS. WEAP. ON SCHOOL",10
"2013","VEHICLE AND TRAFFIC LAWS",6088
"2014","",1488
"2014","ADMINISTRATIVE CODE",1104
"2014","ALCOHOLIC BEVERAGE CONTROL LAW",69
"2014","ANTICIPATORY OFFENSES",5
"2014","ARSON",1185
"2014","ASSAULT 3 & RELATED OFFENSES",53786
"2014","BURGLAR'S TOOLS",373
"2014","BURGLARY",16840
"2014","CHILD ABANDONMENT/NON SUPPORT",25
"2014","CRIMINAL MISCHIEF & RELATED OF",47633
"2014","CRIMINAL TRESPASS",5148
"2014","DANGEROUS DRUGS",28793
"2014","DANGEROUS WEAPONS",10782
"2014","DISORDERLY CONDUCT",47
"2014","DISRUPTION OF A RELIGIOUS SERV",6
"2014","ENDAN WELFARE INCOMP",22
"2014","ESCAPE 3",9
"2014","FELONY ASSAULT",20252
"2014","FORGERY",4801
"2014","FRAUDS",3805
"2014","FRAUDULENT ACCOSTING",247
"2014","GAMBLING",186
"2014","GRAND LARCENY",44325
"2014","GRAND LARCENY OF MOTOR VEHICLE",7659
"2014","HARRASSMENT 2",62056
"2014","HOMICIDE-NEGLIGENT-VEHICLE",2
"2014","HOMICIDE-NEGLIGENT,UNCLASSIFIE",18
"2014","INTOXICATED & IMPAIRED DRIVING",7877
"2014","INTOXICATED/IMPAIRED DRIVING",12
"2014","JOSTLING",39
"2014","KIDNAPPING",1
"2014","KIDNAPPING & RELATED OFFENSES",168
"2014","LOITERING FOR DRUG PURPOSES",1
"2014","LOITERING/GAMBLING (CARDS, DIC",5
"2014","MISCELLANEOUS PENAL LAW",13732
"2014","MURDER & NON-NEGL. MANSLAUGHTER",334
"2014","NEW YORK CITY HEALTH CODE",12
"2014","NYS LAWS-UNCLASSIFIED FELONY",491
"2014","OFF. AGNST PUB ORD SENSBLTY &",19696
